                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4376,                 1.4303,                0.84366,                0.62223,                0.40772,                0.38202,                0.10369,                 2.6041,                 1.4669,                0.82915,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.5287,                 1.4483,                0.85165,                0.64198,                0.46164,                0.48134,                0.17159,                 2.0884,                  1.242,                0.79614,               0.001307,               0.001307,               0.001307
                     37,                 2.4356,                 1.3722,                0.85883,                0.67114,                0.52535,                0.51989,                0.17158,                 2.2488,                 1.2221,                0.79858,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.2837,                 1.2795,                0.85164,                0.69659,                0.57426,                0.53478,                0.17586,                 2.1007,                 1.1658,                0.80159,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.3699,                 1.2416,                0.85327,                0.66339,                0.47525,                0.44876,                0.12527,                 2.3213,                 1.1892,                0.80928,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3553,                 1.2233,                  0.849,                0.72729,                0.50173,                0.52589,                0.15018,                 2.8367,                 1.3643,                0.80348,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.4283,                 1.2541,                0.84851,                0.72191,                0.52475,                0.58066,                0.22429,                 2.0901,                 1.2819,                0.79118,               0.001208,               0.001208,               0.001208
                     42,                 2.4183,                 1.2451,                0.86263,                0.69967,                0.46535,                0.51198,                0.18149,                 2.2193,                  1.234,                0.78853,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3683,                 1.2688,                0.85206,                0.71789,                0.47875,                0.53119,                0.18888,                 2.2716,                 1.1761,                 0.8043,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.2527,                 1.2291,                 0.8329,                0.69279,                0.54455,                0.54553,                0.19259,                 2.2279,                 1.1437,                0.80443,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.2606,                 1.2862,                0.85649,                0.62523,                0.48515,                0.53246,                0.20544,                 2.0076,                 1.1977,                0.79669,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.2776,                 1.1968,                0.85173,                0.76804,                0.52454,                0.58237,                0.21448,                 2.1388,                 1.0506,                0.79503,               0.001109,               0.001109,               0.001109
                     47,                 2.2956,                 1.3332,                0.85115,                 0.6777,                0.47886,                0.52768,                0.17309,                 1.9078,                 1.0942,                0.79039,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.2635,                  1.261,                0.86344,                0.69102,                0.54455,                0.55884,                 0.2121,                 1.8945,                 1.0265,                0.79238,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.2678,                 1.2476,                0.83785,                0.75368,                0.47525,                0.57381,                0.22293,                 1.8941,                  1.156,                0.78911,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2429,                 1.1644,                0.85922,                0.68314,                0.50495,                0.54379,                0.17489,                  2.204,                 1.1197,                0.79533,              0.0010298,              0.0010298,              0.0010298
                     51,                  2.221,                 1.1685,                0.84475,                0.76233,                0.47638,                0.59925,                0.21763,                 2.0807,                 1.0588,                0.79529,                0.00101,                0.00101,                0.00101
                     52,                 2.2677,                 1.2031,                0.83199,                0.76588,                0.58303,                0.61285,                0.21563,                 1.8864,                 1.1495,                0.78856,              0.0009902,              0.0009902,              0.0009902
                     53,                  2.276,                  1.179,                0.84238,                0.77342,                0.54078,                0.59906,                0.20021,                 2.1602,                 1.3456,                0.79231,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.2628,                 1.1482,                 0.8647,                0.79334,                0.49413,                0.58403,                0.19062,                 1.8485,                 1.1168,                0.78707,              0.0009506,              0.0009506,              0.0009506
